step,flux_to_10,flux_to_14,dissipation,entropy,m2,mass_error
1.140000000000000000e+02,2.094366275786555423e-09,2.704074344256937297e-04,6.011627825442800344e+01,1.998700327625703155e+00,1.575197999089077427e-01,0.000000000000000000e+00
1.150000000000000000e+02,2.172787907065021218e-09,2.733911350411490516e-04,6.069866220474011698e+01,1.990369148298969160e+00,1.590825413102569252e-01,0.000000000000000000e+00
1.160000000000000000e+02,2.252453278195410516e-09,2.763304102591660275e-04,6.127796555111621046e+01,1.981141400953681408e+00,1.608199834099732217e-01,0.000000000000000000e+00
1.170000000000000000e+02,2.333282976662296109e-09,2.792213061892702430e-04,6.185414197435339645e+01,1.970909790515459781e+00,1.627412423059754198e-01,2.220446049250313081e-16
1.180000000000000000e+02,2.415191431611646623e-09,2.820597938831848625e-04,6.242714639250620934e+01,1.959522012536591307e+00,1.648555598762341812e-01,0.000000000000000000e+00
1.190000000000000000e+02,2.498086925148370410e-09,2.848417779837620267e-04,6.299693496780363233e+01,1.946733578752053440e+00,1.671722730159292958e-01,0.000000000000000000e+00
1.200000000000000000e+02,2.581871633773827415e-09,2.875631062063097087e-04,6.356346511572392899e+01,1.932052819368521801e+00,1.697007797494191061e-01,0.000000000000000000e+00
1.210000000000000000e+02,2.666441701704390629e-09,2.902195796500188279e-04,6.412669551615321950e+01,1.913382169177704650e+00,1.724436065475334068e-01,2.220446049250313081e-16
1.220000000000000000e+02,2.751632335227489247e-09,2.928011100638063533e-04,6.468658707193490898e+01,1.906725745664598959e+00,1.745378749959295428e-01,0.000000000000000000e+00
1.230000000000000000e+02,2.830313204108527631e-09,2.945737415850788947e-04,6.524322143501846938e+01,1.899553099747417040e+00,1.768254561317330886e-01,1.110223024625156540e-16
1.240000000000000000e+02,2.908858380463648013e-09,2.962421288085654312e-04,6.579656595669936792e+01,1.891853436019531376e+00,1.793126635954758186e-01,0.000000000000000000e+00
1.250000000000000000e+02,2.987127374642182547e-09,2.978023657821684492e-04,6.634658942255710201e+01,1.883616651613575499e+00,1.820055264284030638e-01,0.000000000000000000e+00
1.260000000000000000e+02,3.064976087772037464e-09,2.992506623173229303e-04,6.689326206775047012e+01,1.874833375423786030e+00,1.849097438038184160e-01,2.220446049250313081e-16
1.270000000000000000e+02,3.142257410203581665e-09,3.005833618533392221e-04,6.743655559265336308e+01,1.865494997526327303e+00,1.880306394282726945e-01,0.000000000000000000e+00
1.280000000000000000e+02,3.218821723526187061e-09,3.017969593736805501e-04,6.797644317860861918e+01,1.855593685519082658e+00,1.913731160375473084e-01,2.220446049250313081e-16
1.290000000000000000e+02,3.294517435974887527e-09,3.028881192380180774e-04,6.851289950356799352e+01,1.845122383361054164e+00,1.949416104407214190e-01,2.220446049250313081e-16
1.300000000000000000e+02,3.369191548591143192e-09,3.038536927907143151e-04,6.904590075738025234e+01,1.834074786549096059e+00,1.987400495887589047e-01,1.110223024625156540e-16
1.310000000000000000e+02,3.442690249053086965e-09,3.046907356012680881e-04,6.957542465648454311e+01,1.822445284721740943e+00,2.027718081611090961e-01,0.000000000000000000e+00
1.320000000000000000e+02,3.514859529656745869e-09,3.053965241887396029e-04,7.010145045776238248e+01,1.810228858290807263e+00,2.070396681739981315e-01,2.220446049250313081e-16
1.330000000000000000e+02,3.585545825518497697e-09,3.059685720804178636e-04,7.062395897130234346e+01,1.797420908074882417e+00,2.115457811166986113e-01,3.330669073875469621e-16
1.340000000000000000e+02,3.654596668688881535e-09,3.064046450551457211e-04,7.114293257183305741e+01,1.784016983354935304e+00,2.162916331165277151e-01,0.000000000000000000e+00
1.350000000000000000e+02,3.721861353526633902e-09,3.067027754238610317e-04,7.165835520858439622e+01,1.770012348369580435e+00,2.212780136192440128e-01,2.220446049250313081e-16
1.360000000000000000e+02,3.787191608387379100e-09,3.068612752041361335e-04,7.217021241334416004e+01,1.755401276490322848e+00,2.265049880486566525e-01,0.000000000000000000e+00
1.370000000000000000e+02,3.850442268441034798e-09,3.068787480518286089e-04,7.267849130648787082e+01,1.740175851340234336e+00,2.319718748775993489e-01,0.000000000000000000e+00
1.380000000000000000e+02,3.911471944252024637e-09,3.067540998213722078e-04,7.318318060077046994e+01,1.724323789981101918e+00,2.376772275021551695e-01,2.220446049250313081e-16
1.390000000000000000e+02,3.970143680642575362e-09,3.064865476367011976e-04,7.368427060268497542e+01,1.707824073917994845e+00,2.436188212625425564e-01,1.110223024625156540e-16
1.400000000000000000e+02,4.026325600316141332e-09,3.060756273672095599e-04,7.418175321121020716e+01,1.690636708348999928e+00,2.497936458980235808e-01,0.000000000000000000e+00
1.410000000000000000e+02,4.079891526748280688e-09,3.055211994173401215e-04,7.467562191378839032e+01,1.672671291678954786e+00,2.561979036604303817e-01,0.000000000000000000e+00
1.420000000000000000e+02,4.130721580958316851e-09,3.048234527542277908e-04,7.516587177939720732e+01,1.653597742047936414e+00,2.628268880764147997e-01,2.220446049250313081e-16
1.430000000000000000e+02,4.178701751945634466e-09,3.039828347322807512e-04,7.565249945996444580e+01,1.637229417935815556e+00,2.693788891643085770e-01,1.110223024625156540e-16
1.440000000000000000e+02,4.221407382507917853e-09,3.028338374214499659e-04,7.613553761259997543e+01,1.621486343778322903e+00,2.760628078649874917e-01,2.220446049250313081e-16
1.450000000000000000e+02,4.260505238560423352e-09,3.015092608545108326e-04,7.661499436264533358e+01,1.605353974631533509e+00,2.829362805728147245e-01,0.000000000000000000e+00
1.460000000000000000e+02,4.296428524504972692e-09,3.000484000731511191e-04,7.709087161675041955e+01,1.588849189186012145e+00,2.899916081192424611e-01,1.110223024625156540e-16
1.470000000000000000e+02,4.329107143765498029e-09,2.984535250111518051e-04,7.756317270910794548e+01,1.571989816288388520e+00,2.972204978219339377e-01,2.220446049250313081e-16
1.480000000000000000e+02,4.358481329479698388e-09,2.967272025291965861e-04,7.803190237259491369e+01,1.554794561867034908e+00,3.046141041019871376e-01,2.220446049250313081e-16
1.490000000000000000e+02,4.384501798246138937e-09,2.948722852670782480e-04,7.849706670712888013e+01,1.537282930932253100e+00,3.121630730546951504e-01,0.000000000000000000e+00
1.500000000000000000e+02,4.407129833740154761e-09,2.928918989790718326e-04,7.895867314534091008e+01,1.519475145320126952e+00,3.198575905127903352e-01,0.000000000000000000e+00
1.510000000000000000e+02,4.426337307147766321e-09,2.907894284659762510e-04,7.941673041568910207e+01,1.501392057888169429e+00,3.276874331004093754e-01,2.220446049250313081e-16
1.520000000000000000e+02,4.442106635204123029e-09,2.885685022305932738e-04,7.987124850315746016e+01,1.483055063899599402e+00,3.356420217438870757e-01,0.000000000000000000e+00
1.530000000000000000e+02,4.454430677254737289e-09,2.862329759945876455e-04,8.032223860770440638e+01,1.464486010351355727e+00,3.437104770824591093e-01,0.000000000000000000e+00
1.540000000000000000e+02,4.463312573358375661e-09,2.837869152238158520e-04,8.076971310064215004e+01,1.445707104008590704e+00,3.518816762082746519e-01,2.220446049250313081e-16
1.550000000000000000e+02,4.468765526010795980e-09,2.812345768162167504e-04,8.121368547914254066e+01,1.426740818905618768e+00,3.601443101608390318e-01,0.000000000000000000e+00
1.560000000000000000e+02,4.470812528580442358e-09,2.785803901111536191e-04,8.165417031907865919e+01,1.407609804060390823e+00,3.684869416059126657e-01,0.000000000000000000e+00
1.570000000000000000e+02,4.469486044003794646e-09,2.758289373816930350e-04,8.209118322641980114e+01,1.388336792127086605e+00,3.768980621426248900e-01,0.000000000000000000e+00
1.580000000000000000e+02,4.464827637683878992e-09,2.729849339717151666e-04,8.252474078740648622e+01,1.368944509680092736e+00,3.853661487045080825e-01,0.000000000000000000e+00
1.590000000000000000e+02,4.456887568866285312e-09,2.700532082380580068e-04,8.295486051773642089e+01,1.349455589783264076e+00,3.938797185495930275e-01,0.000000000000000000e+00
